Country,InternationalCode,Label,RecordCount,Phone,Fax,Mobile,Contact,Email,Website,NationalID,GeoLevel,AdminContact,CorporateLinkage,Address
Turkey,111,Wheat,55,33,22,4,34,5,14,54,55,53,8,55
Turkey,112,Rice,22,20,15,2,21,1,4,22,22,22,3,22
Turkey,115,Corn,24,22,17,2,23,1,7,23,24,23,6,24
Turkey,116,Soybeans,16,8,5,1,9,1,3,16,16,15,2,16
Turkey,119,"Cash grains, nec",903,732,230,36,761,20,78,902,903,803,68,903
Turkey,131,Cotton,11,10,7,0,10,1,2,10,10,10,1,10
Turkey,132,Tobacco,1,1,0,0,1,0,1,1,1,1,1,1
Turkey,133,Sugarcane and sugar beets,6,6,3,0,6,1,2,6,6,5,3,6
Turkey,134,Irish potatoes,25,23,9,0,23,1,3,25,25,17,1,25
Turkey,139,"Field crops, except cash grain",39,29,18,4,33,1,10,39,39,36,6,39
Turkey,161,Vegetables and melons,182,121,75,19,139,13,40,182,182,177,44,182
Turkey,171,Berry crops,9,7,4,0,7,1,1,9,9,9,1,9
Turkey,172,Grapes,66,26,15,1,27,7,16,66,66,59,9,66
Turkey,173,Tree nuts,19,17,12,2,18,1,8,19,19,17,5,19
Turkey,174,Citrus fruits,74,57,40,8,65,7,16,73,73,63,11,73
Turkey,175,Deciduous tree fruits,48,40,27,8,46,5,16,45,48,47,13,48
Turkey,179,"Fruits and tree nuts, nec",405,313,171,20,330,17,62,404,405,383,35,405
Turkey,181,Ornamental nursery products,1212,915,498,59,961,50,218,1212,1211,1176,60,1211
Turkey,182,Food crops grown under cover,36,25,19,4,29,3,5,36,36,36,4,36
Turkey,191,"General farms, primarily crop",4964,2755,557,554,3289,103,323,4840,4964,3425,228,4921
Turkey,211,Beef cattle feedlot,119,85,48,23,106,2,14,119,119,101,15,119
Turkey,212,"Beef cattle, except feedlots",11,8,9,2,10,0,2,11,11,11,2,11
Turkey,214,Sheep and goats,138,56,14,11,67,3,8,138,138,127,2,136
Turkey,219,"General livestock, nec",875,424,143,40,461,12,56,875,875,841,28,869
Turkey,241,Dairy farms,1927,637,153,95,722,22,97,1927,1927,1777,129,1921
Turkey,251,"Broiler, fryer, and roaster chickens",91,58,28,7,64,7,18,91,91,58,22,91
Turkey,252,Chicken eggs,201,155,128,16,170,17,59,197,200,196,50,200
Turkey,253,Turkeys and turkey eggs,9,6,4,0,6,0,2,9,9,9,2,9
Turkey,254,Poultry hatcheries,150,103,63,10,112,22,41,149,150,131,54,149
Turkey,259,"Poultry and eggs, nec",106,59,39,6,65,3,20,105,106,100,21,106
Turkey,272,Horses and other equines,6,5,3,0,5,3,4,5,6,5,1,6
Turkey,273,Animal aquaculture,50,36,30,3,39,7,17,50,50,48,13,49
Turkey,279,"Animal specialties, nec",23,21,12,2,23,1,7,22,23,19,5,23
