UniqueID,CompanyName,TradeName,Address1,Address2,PostCode,City,CityCode,Locality,LocalityCode,Province,ProvinceCode,Region,RegionCode,Country,CountryCode,Language,PhoneOrMobile,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCode,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode,InternationalLabel,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHere,EmployeesHereReliabilityCode,EmployeesHereReliabilityCodeDescription,EmployeesTotal,EmployeesTotalReliabilityCode,EmployeesTotalReliabilityCodeDescription,ImportExportAgentCode,ImportExportAgentCodeDescription,LegalStatusCode,LegalStatusCodeDescription,StatusCode,StatusCodeDescription,SalesVolumeLocal,CurrencyCode,SalesVolumeDollars,SalesVolumeEuros,SalesVolumeReliabilityCode,SalesVolumeReliabilityCodeDescription
612215802,AD-KA TURIZM INSAAT TAAHHUT EMLAK KOMISYON ISLERI SANAYI VE TICARET LIMITED SIRKETI,,ISLAM MAH. PTT SOKAK NO 2,BERGAMA,35700.0,İzmir,TR35685,,,İzmir,TR35,,,Turkey,TR,TUR,0232 673 2850,0232 673 2850,,,,,550.0,102.0,Local Government Registration Number,False,4725,Tour operators,,,,,,Adnan Kaya,Manager,ADNAN,KAYA,Male,,5,3,Modeled,5,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,42668377,TRY,1031380,863853,3,Modeled
468031810,ULUSAL TURIZM OTELCILIK VE INSAAT SANAYI TICARET LIMITED SIRKETI,,NO.8/1 ZAFER MAH.KONUK SOK.,YENIBOSNA,,Bahçelievler,TR34005,,,İstanbul,TR34,,,Turkey,TR,TUR,0212 552 6475,0212 552 6475,,,,,327743.0,102.0,Local Government Registration Number,False,1411,Dimension stone,,,,1995.0,,Pehlivan Kir,Manager,PEHLIVAN,KIR,,,5,3,Modeled,5,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,11392419,TRY,365765,306353,3,Modeled
476891374,NASIP KIMYA IMALAT ITHALAT IHRACAT NAKLIYAT SANAYI TICARET LIMITED SIRKETI MERSIN SUBESI,,CUMHURIYET MH. /KAZANLI 940 SK. AKDENIZ NO:3/B 527/529 KAZANLI,,,Mersin,TR33913,,,Mersin,TR33,,,Turkey,TR,TUR,,,,,,,33216.0,102.0,Local Government Registration Number,False,2819,"Industrial inorganic chemicals, nec",,,,,,Mustafa Dinc,Branch Manager,Mustafa,Dinc,Male,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,27824508,TRY,672574,563328,3,Modeled
862300257,GENERAL BIRLIK INSAAT SANAYI VE TICARET LIMITED SIRKETI,,NO:86A ISTIKLAL MAHALLESI MUSTAFA KEMAL ATATURK CADDESI,ODUNPAZARI,26010.0,Eskişehir,TR26410,,,Eskişehir,TR26,,,Turkey,TR,TUR,,,,,,,56864.0,102.0,Local Government Registration Number,False,1522,"Residential construction, nec",,,M,2025.0,,Hakan Duman,Manager,Hakan,Duman,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,7789147,TRY,242001,202692,3,Modeled
476686075,BULDEM GIDA INSAAT TEKSTIL MEDYA SANAYI LIMITED SIRKETI,,KARTALTEPE MAH.KARADENIZ SOK.,"NO.47, SEFAKOY",34295.0,Kartaltepe,TR34018,,,İstanbul,TR34,,,Turkey,TR,TUR,0212 624 5974,0212 624 5974,,,info@hctekstil.com,http://www.hctekstil.com,677073.0,102.0,Local Government Registration Number,False,5141,"Groceries, general line",,,,2008.0,,Ilhan Aydin,Partner,ILHAN,AYDIN,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,11637597,TRY,281304,235611,3,Modeled
706820991,ROYAP YAPI LIMITED SIRKETI,,"TANLAR SEHRI TERAS A BLOK,  NO:2 A/32 FIRAT MAHALLESI","533. SOKAK, KAYAPINAR",21070.0,Mevlana Halit,TR21816,,,Diyarbakır,TR21,,,Turkey,TR,TUR,,,,,,,34510.0,102.0,Local Government Registration Number,False,1522,"Residential construction, nec",,,,2019.0,,Mahmut Altin,Manager,Mahmut,Altin,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,10011625,TRY,242001,202692,3,Modeled
706772613,MICOPET AKARYAKIT VE PETROL URUNLERI TICARET LIMITED SIRKETI,,"AC YAPI MOMENT ISTANBUL B BL,  NO:4 B256 SOGANLIK YENI MAHALLESI","BALTACI MEHMETPASA SOKAK, KARTAL",34880.0,Kordonboyu,TR34017,,,İstanbul,TR34,,,Turkey,TR,TUR,,,,,,,177737.0,102.0,Local Government Registration Number,False,5171,Petroleum bulk stations and terminals,,,,2019.0,,Ogulsah Akin,Manager,Ogulsah,Akin,,,1,3,Modeled,1,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,32212519,TRY,778641,652166,3,Modeled
707038885,BASAR TIBBI CIHAZLAR TICARET LIMITED SIRKETI,,"D:407,  NO:32B YALI MAHALLESI 6523 SOKAK",KARSIYAKA,35550.0,Bahariye,TR35665,,,İzmir,TR35,,,Turkey,TR,TUR,,,,,,,260478.0,102.0,Local Government Registration Number,False,5999,"Miscellaneous retail stores, nec",,,M,2024.0,,Adil Serhat Basar,Manager,Adil Serhat,Basar,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,10476502,TRY,253238,212104,3,Modeled
616404788,SYMPRO BILISIM TEKNOLOJILERI TICARET LTD STI,,"BAGLARBASI MAHALLESI, K:4-401,  35 ATATURK CADDESI","SAKARYA SOKAK, MALTEPE",34844.0,İdealtepe,TR34019,,,İstanbul,TR34,,,Turkey,TR,TUR,0216 706 1009,0216 706 1009,0216 383 7841,,info@sympro.net,http://www.sympro.net,830885.0,102.0,Local Government Registration Number,False,7379,"Computer related services, nec",,,,2014.0,,Mehmet Alper Ozturk,Manager,Mehmet Alper,Ozturk,,,5,0,Actual,5,0,Actual,G,None or Not Available,3.0,Corporation,0,SingleLocation,1361885,TRY,664205,556318,0,Actual
707052175,ERTEKIN AYAKKABI SANAYI VE TICARET LIMITED SIRKETI,,"SANTO NAHUM,  NO:23 EGEMENLIK MAHALLESI 6111 SOKAK",BORNOVA,35070.0,Erzene,TR35675,,,İzmir,TR35,,,Turkey,TR,TUR,,,,,,,261366.0,102.0,Local Government Registration Number,False,3149,"Footwear, except rubber, nec",,,M,2024.0,,Murat Ertekin,Manager,Murat,Ertekin,Male,,4,3,Modeled,4,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,10449446,TRY,252584,211556,3,Modeled
